ts,container,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-01-04T00:54:41-05:00,basic-frontend-1,0.00%,10.6MiB / 7.659GiB,0.14%,2.65kB / 1.06kB,6.92MB / 4.1kB,13
2026-01-04T00:54:41-05:00,basic-backend-1,0.00%,28.73MiB / 7.659GiB,0.37%,4.32kB / 2.28kB,55.2MB / 4.1kB,23
2026-01-04T00:54:41-05:00,basic-kernel-1,0.09%,47.04MiB / 7.659GiB,0.60%,3.49kB / 1.18kB,47.8MB / 0B,17
2026-01-04T00:55:43-05:00,basic-frontend-1,0.00%,10.6MiB / 7.659GiB,0.14%,2.65kB / 1.06kB,6.92MB / 4.1kB,13
2026-01-04T00:55:43-05:00,basic-backend-1,0.00%,28.73MiB / 7.659GiB,0.37%,4.32kB / 2.28kB,55.2MB / 4.1kB,23
2026-01-04T00:55:43-05:00,basic-kernel-1,0.09%,47.05MiB / 7.659GiB,0.60%,4.06kB / 1.6kB,47.8MB / 0B,17
2026-01-04T00:56:46-05:00,basic-frontend-1,0.00%,10.6MiB / 7.659GiB,0.14%,2.65kB / 1.06kB,6.92MB / 4.1kB,13
2026-01-04T00:56:46-05:00,basic-backend-1,0.00%,28.88MiB / 7.659GiB,0.37%,5.54kB / 3.48kB,55.2MB / 4.1kB,23
2026-01-04T00:56:46-05:00,basic-kernel-1,0.08%,47.05MiB / 7.659GiB,0.60%,4.62kB / 2.02kB,47.8MB / 0B,17
2026-01-04T00:57:49-05:00,basic-frontend-1,0.00%,10.6MiB / 7.659GiB,0.14%,2.65kB / 1.06kB,6.92MB / 4.1kB,13
2026-01-04T00:57:49-05:00,basic-backend-1,0.00%,28.88MiB / 7.659GiB,0.37%,5.54kB / 3.48kB,55.2MB / 4.1kB,23
2026-01-04T00:57:49-05:00,basic-kernel-1,0.08%,47.05MiB / 7.659GiB,0.60%,5.63kB / 2.73kB,47.8MB / 0B,17
2026-01-04T00:58:51-05:00,basic-frontend-1,0.00%,10.6MiB / 7.659GiB,0.14%,2.9kB / 1.06kB,6.92MB / 4.1kB,13
2026-01-04T00:58:51-05:00,basic-backend-1,0.00%,34.4MiB / 7.659GiB,0.44%,998B / 126B,2.82MB / 0B,23
2026-01-04T00:58:51-05:00,basic-kernel-1,0.14%,44.91MiB / 7.659GiB,0.57%,956B / 126B,16.7MB / 0B,16
2026-01-04T00:59:53-05:00,basic-frontend-1,0.61%,10.65MiB / 7.659GiB,0.14%,3.61kB / 1.92kB,6.93MB / 4.1kB,13
2026-01-04T00:59:53-05:00,basic-backend-1,0.00%,25.98MiB / 7.659GiB,0.33%,1.04kB / 126B,2.82MB / 4.1kB,23
2026-01-04T00:59:53-05:00,basic-kernel-1,0.39%,45.8MiB / 7.659GiB,0.58%,3.28kB / 1.65kB,16.7MB / 0B,17
2026-01-04T01:00:56-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,3.99kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:00:56-05:00,basic-backend-1,0.00%,24.93MiB / 7.659GiB,0.32%,998B / 126B,2.81MB / 4.1kB,23
2026-01-04T01:00:56-05:00,basic-kernel-1,0.09%,44.58MiB / 7.659GiB,0.57%,1.69kB / 627B,16.9MB / 0B,17
2026-01-04T01:01:59-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,3.99kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:01:59-05:00,basic-backend-1,0.00%,24.93MiB / 7.659GiB,0.32%,998B / 126B,2.81MB / 4.1kB,23
2026-01-04T01:01:59-05:00,basic-kernel-1,0.09%,44.59MiB / 7.659GiB,0.57%,1.69kB / 627B,16.9MB / 0B,17
2026-01-04T01:03:02-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,3.99kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:03:02-05:00,basic-backend-1,0.00%,24.93MiB / 7.659GiB,0.32%,998B / 126B,2.81MB / 4.1kB,23
2026-01-04T01:03:02-05:00,basic-kernel-1,0.10%,44.59MiB / 7.659GiB,0.57%,1.69kB / 627B,16.9MB / 0B,17
2026-01-04T01:04:05-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,3.99kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:04:05-05:00,basic-backend-1,0.03%,24.93MiB / 7.659GiB,0.32%,998B / 126B,2.81MB / 4.1kB,23
2026-01-04T01:04:05-05:00,basic-kernel-1,0.09%,44.59MiB / 7.659GiB,0.57%,3.03kB / 1.86kB,16.9MB / 0B,17
